actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,24,10,131,24,7,1,51
CU,24,40,183,22,42,0,73
FC,35,47,304,53,62,1,75
FF,21,19,102,21,27,1,50
SI,8,19,179,16,53,2,64
SL,0,3,13,1,2,0,12
ST,4,16,118,5,40,0,50
