actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,14,42,124,10,9,0,49
CU,7,73,200,9,16,0,79
FC,10,81,341,25,25,0,95
FF,5,35,123,14,24,0,40
SI,3,37,172,8,31,0,90
SL,0,0,16,1,4,0,10
ST,2,37,121,9,18,0,46
