actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,1,7,89,14,0,4,14
CU,0,3,128,9,1,4,4
FC,0,0,3,0,0,0,0
FF,4,26,565,45,12,26,94
SI,0,5,316,17,5,10,76
SL,1,7,178,25,5,15,67
ST,0,13,245,15,11,31,113
