actual/predicted,CH,CU,FC,FF,SI,SL
CH,81,4,26,150,15,74
CU,27,5,0,17,1,1
FC,0,0,0,3,0,2
FF,113,35,51,525,65,109
SI,10,6,6,87,74,43
SL,75,14,20,272,109,121
