actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,67,55,10,77,27,6,6
CU,74,87,29,121,49,15,9
FC,75,120,46,245,62,23,6
FF,54,43,13,88,28,14,1
SI,39,50,23,149,62,14,4
SL,7,6,6,6,6,0,0
ST,25,44,16,102,31,8,7
