actual/predicted,CH,CU,FC,FF,FS,SI,SL,ST
CH,26,14,4,9,35,10,13,16
CU,44,30,22,34,103,24,31,44
FC,45,35,33,68,124,28,27,49
FF,23,14,13,48,54,14,17,31
FS,7,6,4,6,38,4,0,2
SI,169,67,57,91,201,104,117,110
SL,25,11,4,13,19,8,17,21
ST,20,10,13,34,24,10,11,58
