actual/predicted,CH,CU,FC,FF,SI,SL
CH,235,110,0,0,58,12
CU,275,288,0,1,117,88
FC,0,0,0,0,0,0
FF,0,2,0,0,1,0
SI,350,126,0,0,441,94
SL,14,12,0,0,10,26
