actual/predicted,CH,CU,FC,SI,SL,ST
CH,119,34,43,0,4,0
CU,128,103,95,11,54,8
FC,281,297,305,31,80,21
SI,1,53,30,21,75,11
SL,7,35,27,18,66,9
ST,0,7,10,2,21,11
