actual/predicted,CH,CU,FC,FF,SI,SL
CH,398,0,77,226,3,4
CU,0,0,1,5,0,0
FC,122,0,137,144,8,12
FF,268,0,131,364,4,13
SI,6,0,42,19,5,11
SL,5,0,43,12,3,9
