actual/predicted,CH,CU,FC,FF,SI,SL
CH,49,0,0,215,1,85
CU,16,0,0,31,1,3
FC,0,0,0,3,0,2
FF,57,5,0,694,19,123
SI,7,0,0,126,22,71
SL,33,3,0,337,21,217
