actual/predicted,CH,CU,FC,FF,SI,SL
CH,135,133,0,2,0,20
CU,52,251,0,13,0,100
FC,0,0,0,0,0,0
FF,206,448,0,23,1,156
SI,3,18,0,2,0,8
SL,52,492,0,26,0,318
