actual/predicted,CH,FC,FF,SI,SL,ST
CH,0,0,0,0,0,0
FC,1,0,3,115,57,0
FF,1,0,2,142,83,0
SI,1,1,18,534,297,8
SL,1,3,6,372,228,3
ST,1,0,1,178,95,0
