actual/predicted,CU,FC,FF,FS,KC,SI,SL,ST
CU,257,10,174,2,0,14,4,94
FC,34,8,46,0,0,14,6,99
FF,297,20,353,4,0,38,12,412
FS,4,0,0,0,0,0,0,1
KC,0,0,0,0,0,0,0,0
SI,2,4,9,0,0,7,2,30
SL,2,0,3,0,0,1,0,8
ST,43,10,75,1,0,28,6,289
