actual/predicted,CH,CU,FC,SI,SL,ST
CH,15,14,171,0,0,0
CU,12,38,327,7,14,1
FC,18,30,953,2,12,0
SI,0,4,152,9,26,0
SL,3,13,107,3,36,0
ST,0,2,41,1,5,2
