actual/predicted,CH,FC,FF,KC,SI,SL
CH,86,0,11,63,6,233
FC,1,0,0,0,0,1
FF,102,0,94,151,10,685
KC,74,0,26,117,2,352
SI,0,0,3,4,0,72
SL,13,0,8,32,1,221
