actual/predicted,CU,FC,FF,FS,KC,SI,SL,ST
CU,123,1,386,0,0,0,0,45
FC,10,2,154,0,0,0,0,41
FF,106,2,873,0,0,0,0,155
FS,2,0,3,0,0,0,0,0
KC,0,0,0,0,0,0,0,0
SI,0,1,34,0,0,1,0,18
SL,0,0,6,0,0,0,0,8
ST,13,1,268,0,0,4,0,166
