actual/predicted,CH,CU,FC,FF,SI,SL
CH,52,5,2,238,1,52
CU,13,0,0,37,0,1
FC,0,0,0,3,0,2
FF,59,13,9,674,6,137
SI,7,2,2,145,3,67
SL,51,5,7,387,2,159
