actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,49,65,60,37,5,0,5
CU,22,73,102,51,5,0,10
FC,7,23,84,22,47,0,106
FF,54,132,240,90,64,0,173
SI,1,9,29,17,18,0,71
SL,0,0,0,0,0,0,0
ST,2,10,29,12,30,0,225
