actual/predicted,CH,FC,FF,SI,SL,ST
CH,0,0,0,0,0,0
FC,1,52,28,64,29,2
FF,0,61,47,55,64,1
SI,7,222,131,356,132,11
SL,2,148,90,223,142,8
ST,2,73,25,108,61,6
