actual/predicted,CH,CS,CU,FF,SI,SL,ST
CH,47,0,1,90,9,88,2
CS,0,0,2,0,0,4,0
CU,32,0,19,126,35,159,7
FF,40,0,4,266,68,199,7
SI,3,0,8,100,71,173,0
SL,27,0,6,122,51,254,1
ST,1,0,4,10,7,24,12
