actual/predicted,CH,CU,FC,FF,FS,KC,SI,SL
CH,0,0,0,0,0,0,0,0
CU,0,52,34,10,20,0,8,26
FC,0,0,0,0,0,0,0,0
FF,0,141,251,104,83,0,39,151
FS,0,106,67,15,101,0,11,103
KC,0,0,0,0,0,0,0,0
SI,0,3,12,1,0,0,0,3
SL,0,123,264,76,93,0,17,159
