actual/predicted,CH,CU,FC,FF,SI,SL
CH,222,10,0,15,0,43
CU,138,43,0,102,0,133
FC,0,0,0,0,0,0
FF,351,77,0,141,0,265
SI,7,0,0,0,0,24
SL,124,69,0,175,0,520
