actual/predicted,CH,CU,FC,FF,SI,SL
CH,218,93,56,34,48,105
CU,49,52,28,7,4,34
FC,124,60,70,18,26,124
FF,125,68,57,30,32,105
SI,64,26,38,15,17,95
SL,13,3,22,5,11,71
