actual/predicted,CH,CU,FC,FF,SI,SL
CH,330,0,37,297,2,42
CU,1,0,2,3,0,0
FC,108,0,62,132,7,114
FF,237,0,86,359,10,88
SI,4,0,23,12,0,44
SL,4,0,17,12,2,37
