actual/predicted,CH,FF,KC,SI,SL,ST
CH,0,3,0,0,1,0
FF,0,529,13,0,541,0
KC,0,114,1,1,96,1
SI,0,42,1,0,56,0
SL,0,472,4,0,528,0
ST,0,39,3,1,56,0
