actual/predicted,CU,FC,FF,FS,KC,SI,SL,ST
CU,236,0,0,0,0,208,0,111
FC,25,0,0,0,0,110,0,72
FF,308,0,0,0,0,445,0,383
FS,3,0,0,0,0,1,0,1
KC,0,0,0,0,0,0,0,0
SI,0,0,0,0,0,35,0,19
SL,1,0,0,0,0,4,0,9
ST,22,0,0,0,0,202,0,228
