actual/predicted,CH,CU,FC,FF,SI,SL
CH,33,17,1,186,4,49
CU,17,40,7,235,3,114
FC,0,0,0,0,0,0
FF,40,79,8,511,3,193
SI,0,3,0,18,4,6
SL,11,99,13,416,15,334
