actual/predicted,CH,CU,FC,FF,SI,SL
CH,392,69,18,169,18,37
CU,0,6,0,1,2,0
FC,142,42,25,59,112,42
FF,306,99,28,230,83,50
SI,1,13,5,1,51,20
SL,1,0,0,0,6,23
