actual/predicted,CH,CU,FC,FF,SI,SL
CH,218,35,141,67,22,71
CU,40,30,44,36,8,16
FC,105,22,150,76,27,42
FF,124,22,103,99,21,48
SI,70,9,68,51,18,39
SL,22,1,45,15,8,34
