actual/predicted,CH,FF,KC,SI,SL,ST
CH,2,1,0,0,0,1
FF,235,251,37,73,272,215
KC,78,35,14,17,35,34
SI,17,14,2,9,26,31
SL,204,200,29,84,287,200
ST,4,10,2,9,30,44
