actual/predicted,CH,FC,FF,KC,SI,SL
CH,51,0,332,16,0,0
FC,0,0,2,0,0,0
FF,68,0,942,32,0,0
KC,50,0,501,20,0,0
SI,3,0,75,1,0,0
SL,10,0,259,6,0,0
