actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,0,13,18,56,25,0,17
CU,0,19,19,67,33,1,10
FC,0,1,0,2,0,0,0
FF,0,44,105,336,215,11,61
SI,0,14,35,165,154,9,52
SL,0,10,22,135,79,7,45
ST,0,22,32,180,117,11,66
