actual/predicted,CH,CU,FC,FF,SI,SL
CH,207,23,106,89,46,83
CU,42,9,50,39,10,24
FC,99,12,142,88,25,56
FF,125,15,92,115,24,46
SI,58,6,67,67,16,41
SL,15,2,39,24,10,35
