actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,20,9,0,90,2,5,3
CU,15,11,0,91,14,9,9
FC,0,1,0,2,0,0,0
FF,45,49,0,405,120,70,83
SI,8,7,0,149,154,24,87
SL,8,8,0,123,65,22,72
ST,20,8,0,152,70,35,143
