actual/predicted,CU,FC,FF,FS,KC,SI,SL,ST
CU,254,0,227,0,0,3,0,71
FC,38,0,105,0,0,11,0,53
FF,388,0,432,0,0,44,0,272
FS,3,0,2,0,0,0,0,0
KC,0,0,0,0,0,0,0,0
SI,5,0,27,0,0,1,0,21
SL,3,0,5,0,0,2,0,4
ST,64,0,204,0,0,26,0,158
