actual/predicted,CH,CU,FC,FF,SI,SL
CH,145,17,63,39,50,36
CU,13,4,8,0,24,2
FC,0,0,0,0,4,1
FF,240,40,167,91,263,97
SI,16,6,27,17,107,53
SL,159,21,90,77,173,91
