actual/predicted,CH,CU,FC,FF,FS,KC,SI,SL
CH,0,0,0,0,0,0,0,0
CU,0,18,114,0,18,0,0,0
FC,0,0,0,0,0,0,0,0
FF,0,53,650,0,53,0,13,0
FS,0,60,231,0,110,0,2,0
KC,0,0,0,0,0,0,0,0
SI,0,1,18,0,0,0,0,0
SL,0,67,595,0,66,0,4,0
