actual/predicted,CH,CU,FC,FF,SI,SL
CH,0,0,9,5,111,82
CU,0,0,0,0,5,3
FC,2,0,17,10,327,186
FF,0,0,0,0,18,9
SI,1,0,11,24,326,239
SL,2,0,19,20,370,277
