actual/predicted,CH,CU,FC,SI,SL,ST
CH,160,26,5,0,9,0
CU,171,88,27,38,75,0
FC,341,185,236,105,148,0
SI,0,5,13,52,121,0
SL,7,2,2,31,120,0
ST,0,0,5,10,36,0
