actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,6,26,46,124,3,2,14
CU,3,33,39,176,5,0,7
FC,1,20,62,142,24,1,39
FF,7,61,143,455,24,5,58
SI,0,4,29,73,8,0,31
SL,0,0,0,0,0,0,0
ST,0,12,71,133,13,2,77
