actual/predicted,CH,CU,FC,FF,FS,SI,ST
CH,0,0,0,0,0,0,0
CU,1,8,25,158,12,10,8
FC,2,3,15,147,9,6,8
FF,8,22,72,609,21,44,163
FS,1,7,20,126,5,16,26
SI,0,13,11,135,3,52,185
ST,1,12,17,143,5,38,130
