actual/predicted,CH,CU,FC,FF,FS,SI,ST
CH,0,0,0,0,0,0,0
CU,3,15,0,158,28,0,18
FC,1,3,0,159,23,0,4
FF,3,23,2,571,79,75,186
FS,0,9,1,122,23,6,40
SI,1,6,1,66,12,83,230
ST,3,7,0,75,22,51,188
