actual/predicted,CH,CU,FC,FF,SI,SL
CH,152,24,56,31,9,78
CU,29,7,10,0,1,4
FC,0,0,0,1,1,3
FF,294,104,159,121,73,147
SI,20,10,45,20,37,94
SL,197,43,71,60,48,192
