actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,1,28,67,102,16,0,7
CU,2,31,84,115,16,0,15
FC,0,12,105,54,20,0,98
FF,3,65,241,247,47,0,150
SI,1,5,30,23,14,0,72
SL,0,0,0,0,0,0,0
ST,0,7,37,18,25,0,221
