actual/predicted,CH,CU,FC,FF,FS,KC,SI,SL
CH,0,0,0,0,0,0,0,0
CU,1,17,33,12,16,13,35,23
FC,0,0,0,0,0,0,0,0
FF,2,29,201,66,93,40,262,76
FS,1,45,87,44,117,20,27,62
KC,0,0,0,0,0,0,0,0
SI,0,0,10,0,1,0,6,2
SL,2,31,192,62,102,59,199,85
