actual/predicted,CH,FC,FF,KC,SI,SL
CH,18,0,226,112,2,41
FC,0,0,2,0,0,0
FF,15,0,641,237,0,149
KC,27,0,296,143,0,105
SI,0,0,30,6,0,43
SL,3,0,135,45,0,92
