actual/predicted,CH,CU,FC,FF,SI,ST
CH,30,36,2,24,18,330
CU,17,12,1,8,7,144
FC,0,0,0,0,0,0
FF,68,57,9,54,48,622
SI,7,0,5,6,18,115
ST,47,15,4,21,44,283
