actual/predicted,CH,CU,FC,FF,SI,SL
CH,5,2,0,266,0,77
CU,0,0,0,48,0,3
FC,0,0,0,3,0,2
FF,2,0,0,792,3,101
SI,0,0,0,149,4,73
SL,5,1,0,432,7,166
