actual/predicted,CH,CU,FC,FF,SI,ST
CH,83,160,0,61,32,104
CU,26,76,0,8,33,46
FC,0,0,0,0,0,0
FF,113,168,0,169,152,256
SI,0,0,0,3,102,46
ST,27,73,0,27,116,171
