actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,1,29,6,81,6,0,6
CU,0,31,3,92,17,2,4
FC,0,1,0,1,1,0,0
FF,0,69,11,414,177,8,93
SI,1,15,3,133,202,5,70
SL,0,6,3,153,88,5,43
ST,0,27,6,150,112,7,126
