actual/predicted,CH,CU,FC,FF,SI,SL
CH,82,105,0,13,205,10
CU,132,250,0,16,340,31
FC,0,0,0,0,0,0
FF,0,2,0,0,1,0
SI,99,119,0,28,745,20
SL,8,13,0,1,32,8
