actual/predicted,CH,FC,FF,SI,SL,ST
CH,0,0,0,0,0,0
FC,0,127,8,9,3,29
FF,0,118,28,5,5,72
SI,0,437,78,111,46,187
SL,0,276,54,56,46,181
ST,0,112,26,22,11,104
