actual/predicted,CH,FC,FF,KC,SI,SL
CH,85,0,0,21,3,290
FC,1,0,0,0,0,1
FF,116,0,6,42,0,878
KC,86,0,2,31,0,452
SI,0,0,0,0,0,79
SL,16,0,1,4,0,254
