actual/predicted,CH,CU,FC,FF,SI,SL
CH,30,130,0,0,254,1
CU,36,311,0,0,399,23
FC,0,0,0,0,0,0
FF,0,1,0,0,2,0
SI,17,147,0,0,826,21
SL,5,17,0,0,31,9
