actual/predicted,CH,CU,FC,FF,FS,KC,SI,SL
CH,0,0,0,0,0,0,0,0
CU,0,45,31,22,5,0,1,46
FC,0,0,0,0,0,0,0,0
FF,0,73,178,239,16,0,5,258
FS,0,67,66,38,52,0,1,179
KC,0,0,0,0,0,0,0,0
SI,0,1,8,5,0,0,0,5
SL,0,51,189,132,19,0,2,339
