actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,1,11,34,68,4,8,3
CU,2,12,25,83,18,5,4
FC,0,0,0,3,0,0,0
FF,16,41,106,306,167,55,81
SI,3,4,24,95,199,43,61
SL,6,3,16,87,85,42,59
ST,4,7,27,129,92,48,121
