actual/predicted,CH,CU,FC,FF,FS,SI,ST
CH,0,0,0,0,0,0,0
CU,0,7,4,38,119,7,47
FC,0,6,5,28,100,6,45
FF,0,30,17,135,391,41,325
FS,0,8,9,26,102,10,46
SI,0,7,5,38,80,32,237
ST,0,11,3,32,110,34,156
