actual/predicted,CH,CU,FC,FF,SI,SL
CH,2,0,32,0,51,122
CU,0,0,2,0,0,6
FC,3,0,96,0,144,299
FF,0,0,2,1,5,19
SI,1,0,76,2,181,341
SL,4,0,110,3,139,432
