actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,5,9,68,19,4,16,8
CU,8,11,82,13,9,21,5
FC,0,2,0,1,0,0,0
FF,23,35,326,49,110,165,64
SI,4,5,108,26,122,117,47
SL,8,10,78,17,73,72,40
ST,9,12,87,29,69,122,100
