actual/predicted,CH,CS,CU,FF,SI,SL,ST
CH,70,6,6,75,29,46,5
CS,1,1,0,0,1,2,1
CU,65,7,16,119,53,102,16
FF,117,9,9,217,95,119,18
SI,19,7,7,86,95,124,17
SL,55,4,11,124,89,170,8
ST,3,4,0,12,8,25,6
