actual/predicted,CH,CU,FC,FF,SI,ST
CH,37,14,0,281,2,106
CU,9,12,0,102,0,66
FC,0,0,0,0,0,0
FF,59,20,0,532,7,240
SI,3,2,0,67,4,75
ST,17,13,0,184,2,198
