actual/predicted,CH,CU,FC,FF,FS,SI,ST
CH,0,0,0,0,0,0,0
CU,0,4,18,192,3,4,1
FC,0,5,34,148,1,2,0
FF,0,5,71,723,4,127,9
FS,0,5,29,142,2,20,3
SI,0,1,7,186,1,198,6
ST,0,2,15,201,0,120,8
