actual/predicted,CH,CU,FC,FF,SI,SL
CH,10,4,0,276,0,60
CU,6,0,0,35,0,10
FC,0,0,0,5,0,0
FF,20,11,0,735,0,132
SI,1,0,0,184,0,41
SL,15,4,0,485,0,107
