actual/predicted,CH,CU,FC,FF,SI,ST
CH,94,93,122,66,68,64
CU,29,85,26,18,12,36
FC,7,1,47,0,0,0
FF,97,152,127,130,145,129
SI,3,5,38,3,94,31
ST,11,64,1,24,102,113
